Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
14/05/2023,2022,PAOK,Olympiakos,2.25,3.25,3.4,0.0,1.0,A,3,2,14,7,1,0,65,18,2,2,7,5,1,0,65,18
14/05/2023,2022,Panathinaikos,Aris,1.36,4.33,11.0,1.0,1.0,D,2,0,5,1,0,0,65,29,1,3,9,10,1,0,65,29
14/05/2023,2022,AEK,Volos NFC,1.05,13.0,41.0,4.0,0.0,H,2,1,8,4,1,0,76,12,1,3,5,13,0,1,76,12
13/05/2023,2022,Levadeiakos,Giannina,2.5,3.2,3.0,3.0,3.0,D,1,1,5,6,0,1,20,47,1,2,4,7,0,0,20,47
13/05/2023,2022,Ionikos,Lamia,2.0,3.2,4.2,2.0,2.0,D,3,2,3,3,0,0,20,33,1,1,6,7,0,1,20,33
13/05/2023,2022,Asteras Tripolis,Atromitos,2.1,3.4,3.4,1.0,1.0,D,1,1,4,4,0,0,31,56,0,3,4,7,0,0,31,56
13/05/2023,2022,Panetolikos,OFI Crete,2.75,3.2,2.63,0.0,2.0,A,1,2,5,7,0,0,19,31,4,1,10,5,1,0,19,31
08/05/2023,2022,Volos NFC,PAOK,12.0,5.0,1.33,0.0,2.0,A,0,5,0,10,0,2,29,12,2,2,5,9,0,1,29,12
08/05/2023,2022,Olympiakos,Panathinaikos,4.0,3.4,1.95,1.0,0.0,H,3,1,17,6,2,0,65,24,4,0,7,1,0,0,65,24
08/05/2023,2022,Aris,AEK,6.5,4.33,1.5,1.0,2.0,A,3,2,10,7,0,0,65,12,4,0,6,1,0,0,65,12
06/05/2023,2022,OFI Crete,Ionikos,2.6,3.3,2.75,2.0,2.0,D,1,2,6,9,1,2,19,38,1,3,3,11,0,1,19,38
06/05/2023,2022,Lamia,Levadeiakos,2.0,3.3,4.0,1.0,1.0,D,3,2,6,8,0,2,27,27,1,2,4,10,0,1,27,27
06/05/2023,2022,Giannina,Asteras Tripolis,2.6,2.25,4.0,1.0,0.0,H,1,2,3,4,0,0,27,40,0,3,1,5,0,0,27,40
06/05/2023,2022,Atromitos,Panetolikos,1.95,3.3,4.33,2.0,0.0,H,1,3,5,7,0,0,38,38,0,4,4,13,0,1,38,38
03/05/2023,2022,Panathinaikos,PAOK,1.75,3.5,5.25,1.0,1.0,D,3,0,6,0,0,0,69,25,2,2,4,8,0,1,69,25
03/05/2023,2022,Aris,Volos NFC,1.29,5.25,12.0,4.0,2.0,H,3,2,8,6,0,0,62,12,1,3,3,11,0,1,62,12
03/05/2023,2022,AEK,Olympiakos,1.73,3.6,5.25,0.0,0.0,D,3,1,10,4,1,0,81,6,3,2,10,5,2,0,81,6
30/04/2023,2022,PAOK,Aris,1.67,3.5,6.0,3.0,2.0,H,3,2,13,5,1,0,62,19,2,2,10,7,2,0,62,19
30/04/2023,2022,Panathinaikos,AEK,2.5,3.1,3.0,0.0,0.0,D,4,0,8,0,0,0,73,20,5,0,9,1,1,0,73,20
30/04/2023,2022,Olympiakos,Volos NFC,1.13,8.0,23.0,5.0,0.0,H,2,1,12,6,1,0,62,25,2,2,6,6,1,0,62,25
29/04/2023,2022,Panetolikos,Levadeiakos,2.45,3.0,3.2,2.0,2.0,D,1,2,3,5,0,0,20,27,1,3,2,11,0,2,20,27
29/04/2023,2022,Ionikos,Giannina,2.2,3.2,3.5,0.0,1.0,A,3,2,4,4,0,0,21,36,0,2,3,7,0,0,21,36
29/04/2023,2022,Atromitos,OFI Crete,2.6,3.1,2.88,2.0,3.0,A,2,2,4,4,0,0,40,40,3,2,8,5,1,0,40,40
29/04/2023,2022,Asteras Tripolis,Lamia,2.4,2.9,3.4,0.0,0.0,D,1,1,6,6,0,0,33,53,1,2,6,9,0,1,33,53
26/04/2023,2022,AEK,PAOK,1.75,3.5,5.25,4.0,0.0,H,3,1,9,4,1,0,80,7,2,1,6,6,0,0,80,7
26/04/2023,2022,Aris,Olympiakos,4.5,3.4,1.91,2.0,1.0,H,2,3,7,7,0,0,60,13,3,1,9,3,2,0,60,13
26/04/2023,2022,Volos NFC,Panathinaikos,15.0,5.5,1.25,0.0,2.0,A,0,4,1,9,0,2,31,12,3,0,5,1,0,0,31,12
23/04/2023,2022,Olympiakos,AEK,2.1,3.4,3.5,1.0,3.0,A,3,0,17,4,2,0,67,27,4,1,6,2,1,0,67,27
23/04/2023,2022,PAOK,Panathinaikos,2.25,3.1,3.5,1.0,2.0,A,3,1,12,3,1,0,67,20,3,0,5,1,0,0,67,20
23/04/2023,2022,Volos NFC,Aris,4.2,3.4,1.95,0.0,3.0,A,1,3,3,7,0,1,33,13,1,3,7,8,1,0,33,13
22/04/2023,2022,OFI Crete,Asteras Tripolis,1.95,3.3,4.2,1.0,1.0,D,1,2,5,8,1,2,20,33,0,4,0,5,0,0,20,33
22/04/2023,2022,Levadeiakos,Ionikos,2.38,3.25,3.1,2.0,2.0,D,1,1,3,4,0,1,21,43,1,3,1,9,0,1,21,43
22/04/2023,2022,Lamia,Atromitos,2.15,3.3,3.5,1.0,0.0,H,2,3,5,10,0,2,21,29,0,2,5,7,0,0,21,29
22/04/2023,2022,Giannina,Panetolikos,1.95,3.0,5.0,3.0,2.0,H,0,2,1,3,0,0,21,43,1,3,5,12,0,1,21,43
09/04/2023,2022,Panathinaikos,Olympiakos,2.55,3.2,2.88,2.0,0.0,H,3,1,6,3,0,1,71,21,3,0,10,2,2,0,71,21
09/04/2023,2022,PAOK,Volos NFC,1.18,6.5,19.0,4.0,2.0,H,3,1,11,3,1,0,64,21,2,2,4,5,1,1,64,21
09/04/2023,2022,AEK,Aris,1.4,4.33,9.5,3.0,1.0,H,3,1,9,3,2,0,79,7,1,3,6,8,1,1,79,7
08/04/2023,2022,Panetolikos,Ionikos,2.4,3.1,3.2,0.0,1.0,A,1,1,4,5,0,0,21,29,1,3,2,9,0,1,21,29
08/04/2023,2022,Asteras Tripolis,Levadeiakos,1.91,3.2,4.33,0.0,1.0,A,2,0,7,5,0,0,36,57,0,4,3,14,0,2,36,57
08/04/2023,2022,OFI Crete,Lamia,1.91,3.3,4.33,4.0,1.0,H,1,2,2,7,0,2,14,36,1,1,5,5,0,0,14,36
08/04/2023,2022,Atromitos,Giannina,2.05,3.2,4.0,1.0,1.0,D,2,2,4,4,0,0,43,36,0,2,3,7,0,0,43,36
05/04/2023,2022,Olympiakos,PAOK,1.85,3.3,4.5,3.0,1.0,H,3,0,16,4,2,0,64,29,3,0,8,3,1,0,64,29
05/04/2023,2022,Aris,Panathinaikos,3.25,3.0,2.4,0.0,1.0,A,3,2,10,6,1,0,64,14,2,1,4,2,0,0,64,14
05/04/2023,2022,Volos NFC,AEK,9.5,7.0,1.22,0.0,1.0,A,1,3,5,9,0,1,36,14,4,1,7,3,1,0,36,14
02/04/2023,2022,Olympiakos,Aris,1.3,4.75,11.0,2.0,2.0,D,4,0,15,2,2,0,69,23,1,4,4,7,1,1,69,23
02/04/2023,2022,PAOK,AEK,2.6,3.1,2.88,0.0,1.0,A,3,0,11,2,1,0,69,23,3,2,7,5,1,0,69,23
