Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result
25/08/12,2012,AEK,Asteras Tripolis,2.63,3.0,2.88,0.0,1.0,A
25/08/12,2012,Giannina,Platanias,1.8,3.25,5.0,0.0,0.0,D
25/08/12,2012,Levadeiakos,Panathinaikos,4.2,3.1,2.0,0.0,1.0,A
26/08/12,2012,Kerkyra,Atromitos,3.5,3.0,2.25,0.0,2.0,A
26/08/12,2012,OFI,Xanthi,2.5,3.0,3.0,0.0,0.0,D
26/08/12,2012,PAOK,Panthrakikos,1.4,4.2,9.0,1.0,0.0,H
26/08/12,2012,Veria,Olympiakos,13.0,4.5,1.3,1.0,2.0,A
27/08/12,2012,Panionios,Aris,2.4,3.0,3.2,1.0,0.0,H
31/08/12,2012,Panathinaikos,Giannina,1.33,4.5,11.0,1.0,1.0,D
01/09/12,2012,Platanias,Panthrakikos,2.4,3.0,3.2,2.0,0.0,H
01/09/12,2012,Veria,Panionios,1.91,3.1,4.5,0.0,1.0,A
01/09/12,2012,Xanthi,AEK,1.91,3.1,4.5,1.0,0.0,H
02/09/12,2012,Aris,OFI,2.05,3.1,4.0,0.0,0.0,D
02/09/12,2012,Asteras Tripolis,Kerkyra,1.62,3.5,6.0,3.0,0.0,H
02/09/12,2012,Olympiakos,Levadeiakos,1.17,6.5,17.0,4.0,0.0,H
03/09/12,2012,Atromitos,PAOK,2.38,3.1,3.1,1.0,0.0,H
15/09/12,2012,Giannina,Olympiakos,8.0,4.0,1.44,1.0,2.0,A
15/09/12,2012,Levadeiakos,Veria,1.91,3.2,4.33,0.0,0.0,D
15/09/12,2012,Panthrakikos,Panathinaikos,6.5,3.4,1.62,1.0,0.0,H
16/09/12,2012,AEK,Aris,1.8,3.25,5.0,1.0,1.0,D
16/09/12,2012,Kerkyra,Xanthi,5.0,3.1,1.85,1.0,1.0,D
16/09/12,2012,PAOK,Asteras Tripolis,1.91,3.1,4.5,2.0,1.0,H
16/09/12,2012,Platanias,Atromitos,4.33,3.2,1.91,0.0,0.0,D
17/09/12,2012,Panionios,OFI,2.0,3.0,4.33,2.0,1.0,H
22/09/12,2012,Asteras Tripolis,Platanias,1.57,3.5,7.0,2.0,1.0,H
22/09/12,2012,Levadeiakos,Panionios,1.91,3.2,4.33,3.0,0.0,H
22/09/12,2012,Xanthi,PAOK,2.8,2.9,2.75,0.0,3.0,A
23/09/12,2012,Aris,Kerkyra,1.73,3.3,5.5,1.0,0.0,H
23/09/12,2012,OFI,AEK,2.6,3.0,2.88,2.0,1.0,H
23/09/12,2012,Olympiakos,Panthrakikos,1.14,6.5,15.0,4.0,1.0,H
23/09/12,2012,Veria,Giannina,2.4,3.0,3.2,1.0,0.0,H
24/09/12,2012,Panathinaikos,Atromitos,2.0,3.2,4.0,1.0,1.0,D
29/09/12,2012,Atromitos,Olympiakos,4.75,3.25,1.83,0.0,1.0,A
29/09/12,2012,Kerkyra,OFI,2.4,3.0,3.2,2.0,1.0,H
29/09/12,2012,Panionios,AEK,2.5,3.0,3.0,1.0,0.0,H
